id,sum,term,payment,guarantees,reason,credits,other_credits,credit_report,marital_status,age,employment,qualification,immigrant,residence_since,accommodation,estate,savings,dependents,phone,status,bankruptcy
602,1837,24,4,none,education,1,bank,all credits at this bank paid back duly,female divorced or separated or married,34,4 to 7 y.,unskilled resident,yes,4,for free,unknown or no property,less-than 100 cu,1,none,0 to 200 cu,1
603,3349,36,4,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,28,1 to 4 y.,management or self-employed or highly qualified employee,yes,2,own,car or other,less-than 100 cu,1,yes,no checking account,1
604,1275,10,4,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,23,less-than 1 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
605,2828,24,4,none,furniture or equipment,1,stores,all credits at this bank paid back duly,male single,22,1 to 4 y.,skilled employee,yes,4,own,real estate,500 to 1000 cu,1,yes,less-than 0 cu,0
606,4526,24,3,none,business,1,none,critical account or other credits existing(not at this bank),male single,74,1 to 4 y.,management or self-employed or highly qualified employee,yes,2,own,real estate,less-than 100 cu,1,yes,no checking account,0
607,2671,36,4,co-applicant,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,50,1 to 4 y.,skilled employee,yes,4,for free,unknown or no property,100 to 500 cu,1,none,0 to 200 cu,1
608,2051,18,4,none,television or radio,1,none,existing credits paid back duly till now,male single,33,less-than 1 y.,skilled employee,yes,1,own,real estate,less-than 100 cu,1,none,no checking account,0
609,1300,15,4,none,used car,1,bank,existing credits paid back duly till now,male single,45,7+ y.,skilled employee,yes,4,for free,unknown or no property,unknown or no savings account,2,none,no checking account,0
610,741,12,4,none,household appliances,1,none,existing credits paid back duly till now,female divorced or separated or married,22,unemployed,skilled employee,yes,3,own,building society savings agreement or life insurance,100 to 500 cu,1,none,less-than 0 cu,1
611,1240,10,1,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,48,7+ y.,unskilled resident,yes,4,for free,unknown or no property,100 to 500 cu,2,none,greater-than 200 cu or salary assignments for at least 1 year,1
612,3357,21,4,none,television or radio,1,bank,existing credits paid back duly till now,female divorced or separated or married,29,less-than 1 y.,skilled employee,yes,2,own,car or other,greater-than 1000 cu,1,none,less-than 0 cu,0
613,3632,24,1,guarantor,used car,1,bank,all credits at this bank paid back duly,female divorced or separated or married,22,1 to 4 y.,skilled employee,no,4,rent,car or other,less-than 100 cu,1,none,less-than 0 cu,0
614,1808,18,4,none,furniture or equipment,1,none,delay in paying off in the past,female divorced or separated or married,22,4 to 7 y.,skilled employee,yes,1,own,real estate,less-than 100 cu,1,none,no checking account,1
615,12204,48,2,none,business,1,bank,no credits or all paid,male single,48,1 to 4 y.,management or self-employed or highly qualified employee,yes,2,own,car or other,unknown or no savings account,1,yes,0 to 200 cu,0
616,9157,60,2,none,television or radio,1,none,delay in paying off in the past,male single,27,1 to 4 y.,management or self-employed or highly qualified employee,yes,2,for free,unknown or no property,unknown or no savings account,1,none,0 to 200 cu,0
617,3676,6,1,none,new car,3,none,critical account or other credits existing(not at this bank),male single,37,1 to 4 y.,skilled employee,yes,3,rent,real estate,less-than 100 cu,2,none,less-than 0 cu,0
618,3441,30,2,co-applicant,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,21,1 to 4 y.,skilled employee,yes,4,rent,car or other,100 to 500 cu,1,none,0 to 200 cu,1
619,640,12,4,none,new car,1,none,existing credits paid back duly till now,male divorced or separated,49,1 to 4 y.,unskilled resident,yes,2,own,real estate,less-than 100 cu,1,none,no checking account,0
620,3652,21,2,none,business,2,none,critical account or other credits existing(not at this bank),male single,27,4 to 7 y.,skilled employee,yes,3,own,building society savings agreement or life insurance,less-than 100 cu,1,none,0 to 200 cu,0
621,1530,18,3,none,new car,2,bank,critical account or other credits existing(not at this bank),male single,32,1 to 4 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,1,none,no checking account,1
622,3914,48,4,none,business,1,bank,existing credits paid back duly till now,male divorced or separated,38,1 to 4 y.,skilled employee,yes,2,own,real estate,unknown or no savings account,1,none,no checking account,1
623,1858,12,4,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,22,less-than 1 y.,skilled employee,yes,1,rent,car or other,less-than 100 cu,1,none,less-than 0 cu,0
624,2600,18,4,none,television or radio,2,none,existing credits paid back duly till now,male single,65,1 to 4 y.,skilled employee,yes,4,for free,unknown or no property,less-than 100 cu,1,none,less-than 0 cu,1
625,1979,15,4,none,television or radio,1,none,existing credits paid back duly till now,male single,35,7+ y.,skilled employee,yes,2,own,car or other,unknown or no savings account,1,none,no checking account,0
626,2116,6,2,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,41,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,yes,greater-than 200 cu or salary assignments for at least 1 year,0
627,1437,9,2,none,new car,1,none,all credits at this bank paid back duly,male single,29,4 to 7 y.,skilled employee,yes,3,own,unknown or no property,100 to 500 cu,1,none,0 to 200 cu,1
628,4042,42,4,none,furniture or equipment,2,none,critical account or other credits existing(not at this bank),male single,36,1 to 4 y.,skilled employee,yes,4,own,real estate,500 to 1000 cu,1,yes,no checking account,0
629,3832,9,1,none,education,1,none,existing credits paid back duly till now,male single,64,7+ y.,unskilled resident,yes,4,own,real estate,unknown or no savings account,1,none,no checking account,0
630,3660,24,2,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,28,1 to 4 y.,skilled employee,yes,4,own,car or other,less-than 100 cu,1,none,less-than 0 cu,0
631,1553,18,4,none,furniture or equipment,1,bank,all credits at this bank paid back duly,male single,44,1 to 4 y.,skilled employee,yes,3,own,car or other,less-than 100 cu,1,none,less-than 0 cu,1
632,1444,15,4,none,television or radio,1,none,existing credits paid back duly till now,male single,23,less-than 1 y.,skilled employee,yes,1,own,building society savings agreement or life insurance,unknown or no savings account,1,none,0 to 200 cu,0
633,1980,9,2,co-applicant,furniture or equipment,2,none,existing credits paid back duly till now,female divorced or separated or married,19,less-than 1 y.,skilled employee,yes,2,rent,car or other,less-than 100 cu,1,none,no checking account,1
634,1355,24,3,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,25,less-than 1 y.,unskilled resident,yes,4,own,car or other,less-than 100 cu,1,yes,0 to 200 cu,1
635,1393,12,4,none,education,3,bank,existing credits paid back duly till now,male single,47,7+ y.,skilled employee,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,2,yes,no checking account,0
636,1376,24,4,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,28,4 to 7 y.,skilled employee,yes,1,own,car or other,500 to 1000 cu,1,none,no checking account,0
637,15653,60,2,none,television or radio,2,none,delay in paying off in the past,male single,21,4 to 7 y.,skilled employee,yes,4,own,car or other,less-than 100 cu,1,yes,no checking account,0
638,1493,12,4,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,34,less-than 1 y.,skilled employee,yes,3,own,car or other,less-than 100 cu,2,none,no checking account,0
639,4370,42,3,none,television or radio,2,bank,delay in paying off in the past,male single,26,4 to 7 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,2,yes,less-than 0 cu,1
640,750,18,4,none,education,1,none,existing credits paid back duly till now,female divorced or separated or married,27,unemployed,unemployed or unskilled non-resident,yes,1,own,real estate,less-than 100 cu,1,none,less-than 0 cu,1
641,1308,15,4,none,repairs,2,none,existing credits paid back duly till now,male single,38,7+ y.,unskilled resident,yes,4,own,car or other,less-than 100 cu,1,none,0 to 200 cu,0
642,4623,15,3,none,education,1,none,existing credits paid back duly till now,male single,40,1 to 4 y.,management or self-employed or highly qualified employee,yes,2,own,building society savings agreement or life insurance,100 to 500 cu,1,yes,no checking account,1
643,1851,24,4,guarantor,television or radio,2,none,critical account or other credits existing(not at this bank),male married or widowed,33,4 to 7 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,yes,no checking account,0
644,1880,18,4,none,television or radio,2,none,critical account or other credits existing(not at this bank),male married or widowed,32,4 to 7 y.,management or self-employed or highly qualified employee,yes,1,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,less-than 0 cu,0
645,7980,36,4,none,business,2,none,delay in paying off in the past,male single,27,less-than 1 y.,skilled employee,yes,4,rent,car or other,unknown or no savings account,1,yes,no checking account,1
646,4583,30,2,guarantor,furniture or equipment,2,none,no credits or all paid,male divorced or separated,32,1 to 4 y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,none,less-than 0 cu,0
647,1386,12,2,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,26,1 to 4 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,500 to 1000 cu,1,none,no checking account,1
648,947,24,4,none,new car,1,bank,existing credits paid back duly till now,male single,38,4 to 7 y.,skilled employee,yes,3,for free,unknown or no property,less-than 100 cu,2,none,greater-than 200 cu or salary assignments for at least 1 year,1
649,684,12,4,none,education,1,none,existing credits paid back duly till now,male single,40,1 to 4 y.,unskilled resident,yes,4,rent,car or other,less-than 100 cu,2,none,less-than 0 cu,1
650,7476,48,4,none,education,1,none,existing credits paid back duly till now,male single,50,4 to 7 y.,management or self-employed or highly qualified employee,yes,1,for free,unknown or no property,less-than 100 cu,1,yes,less-than 0 cu,0
651,1922,12,4,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,37,1 to 4 y.,unskilled resident,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,1,none,0 to 200 cu,1
652,2303,24,4,co-applicant,new car,1,none,existing credits paid back duly till now,male single,45,7+ y.,skilled employee,yes,1,own,real estate,less-than 100 cu,1,none,less-than 0 cu,1
653,8086,36,2,none,new car,4,none,delay in paying off in the past,male single,42,7+ y.,management or self-employed or highly qualified employee,yes,4,own,car or other,100 to 500 cu,1,yes,0 to 200 cu,1
654,2346,24,4,none,used car,2,none,critical account or other credits existing(not at this bank),male single,35,4 to 7 y.,skilled employee,yes,3,own,car or other,less-than 100 cu,1,yes,no checking account,0
655,3973,14,1,none,new car,1,none,existing credits paid back duly till now,male single,22,unemployed,skilled employee,yes,4,for free,unknown or no property,less-than 100 cu,1,none,less-than 0 cu,0
656,888,12,4,none,new car,1,bank,existing credits paid back duly till now,male single,41,7+ y.,unskilled resident,yes,4,own,car or other,less-than 100 cu,2,none,0 to 200 cu,1
657,10222,48,4,none,television or radio,1,stores,existing credits paid back duly till now,male single,37,4 to 7 y.,skilled employee,yes,3,own,car or other,unknown or no savings account,1,yes,no checking account,0
658,4221,30,2,none,business,2,none,no credits or all paid,female divorced or separated or married,28,1 to 4 y.,skilled employee,yes,1,own,car or other,less-than 100 cu,1,none,0 to 200 cu,0
659,6361,18,2,none,furniture or equipment,1,none,critical account or other credits existing(not at this bank),male single,41,7+ y.,skilled employee,yes,1,own,unknown or no property,less-than 100 cu,1,yes,0 to 200 cu,0
660,1297,12,3,none,television or radio,1,none,existing credits paid back duly till now,male married or widowed,23,1 to 4 y.,skilled employee,yes,4,rent,real estate,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
661,900,12,4,none,new car,1,none,existing credits paid back duly till now,male married or widowed,23,1 to 4 y.,skilled employee,yes,2,own,car or other,unknown or no savings account,1,none,less-than 0 cu,1
662,2241,21,4,none,furniture or equipment,2,none,existing credits paid back duly till now,male single,50,7+ y.,skilled employee,yes,2,own,real estate,less-than 100 cu,1,none,no checking account,0
663,1050,6,4,none,furniture or equipment,2,stores,delay in paying off in the past,male single,35,unemployed,management or self-employed or highly qualified employee,yes,1,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,0 to 200 cu,0
664,1047,6,2,none,education,1,none,critical account or other credits existing(not at this bank),female divorced or separated or married,50,1 to 4 y.,unskilled resident,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
665,6314,24,4,co-applicant,other,2,bank,critical account or other credits existing(not at this bank),male single,27,unemployed,management or self-employed or highly qualified employee,yes,2,own,unknown or no property,less-than 100 cu,1,yes,no checking account,0
666,3496,30,4,none,furniture or equipment,1,stores,all credits at this bank paid back duly,male single,34,1 to 4 y.,skilled employee,yes,2,own,car or other,greater-than 1000 cu,2,yes,0 to 200 cu,0
667,3609,48,1,none,business,1,stores,all credits at this bank paid back duly,female divorced or separated or married,27,1 to 4 y.,skilled employee,yes,1,own,real estate,less-than 100 cu,1,none,no checking account,0
668,4843,12,3,co-applicant,new car,2,none,critical account or other credits existing(not at this bank),male single,43,7+ y.,skilled employee,yes,4,rent,building society savings agreement or life insurance,less-than 100 cu,1,yes,less-than 0 cu,1
669,3017,30,4,none,television or radio,1,none,critical account or other credits existing(not at this bank),male single,47,7+ y.,skilled employee,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
670,4139,24,3,none,business,2,none,critical account or other credits existing(not at this bank),male single,27,1 to 4 y.,unskilled resident,yes,3,own,building society savings agreement or life insurance,100 to 500 cu,1,yes,no checking account,0
671,5742,36,2,none,business,2,none,existing credits paid back duly till now,male single,31,4 to 7 y.,skilled employee,yes,2,own,car or other,100 to 500 cu,1,yes,no checking account,0
672,10366,60,2,none,new car,1,none,existing credits paid back duly till now,male single,42,7+ y.,management or self-employed or highly qualified employee,yes,4,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,no checking account,0
673,2080,6,1,none,new car,1,none,critical account or other credits existing(not at this bank),male married or widowed,24,1 to 4 y.,skilled employee,yes,2,own,car or other,500 to 1000 cu,1,none,no checking account,0
674,2580,21,4,none,business,1,bank,delay in paying off in the past,male single,41,less-than 1 y.,unskilled resident,yes,2,own,real estate,500 to 1000 cu,2,none,no checking account,1
675,4530,30,4,none,television or radio,1,none,critical account or other credits existing(not at this bank),female divorced or separated or married,26,4 to 7 y.,management or self-employed or highly qualified employee,yes,4,rent,car or other,less-than 100 cu,1,yes,no checking account,0
676,5150,24,4,none,furniture or equipment,1,none,critical account or other credits existing(not at this bank),male single,33,7+ y.,skilled employee,yes,4,own,car or other,less-than 100 cu,1,yes,no checking account,0
677,5595,72,2,none,television or radio,1,none,existing credits paid back duly till now,male married or widowed,24,1 to 4 y.,skilled employee,yes,2,own,car or other,100 to 500 cu,1,none,0 to 200 cu,1
678,2384,24,4,none,television or radio,1,bank,existing credits paid back duly till now,male single,64,7+ y.,unskilled resident,yes,4,rent,real estate,less-than 100 cu,1,none,less-than 0 cu,0
679,1453,18,3,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,26,less-than 1 y.,skilled employee,yes,1,own,real estate,less-than 100 cu,1,none,no checking account,0
680,1538,6,1,none,education,1,none,existing credits paid back duly till now,female divorced or separated or married,56,less-than 1 y.,skilled employee,yes,2,own,unknown or no property,less-than 100 cu,1,none,no checking account,0
681,2279,12,4,none,television or radio,1,none,existing credits paid back duly till now,male single,37,1 to 4 y.,skilled employee,yes,4,for free,unknown or no property,unknown or no savings account,1,yes,no checking account,0
682,1478,15,4,none,television or radio,2,bank,delay in paying off in the past,male married or widowed,33,1 to 4 y.,skilled employee,yes,3,own,real estate,less-than 100 cu,1,none,no checking account,0
683,5103,24,3,none,television or radio,3,none,critical account or other credits existing(not at this bank),male married or widowed,47,less-than 1 y.,skilled employee,yes,3,for free,unknown or no property,less-than 100 cu,1,yes,no checking account,0
684,9857,36,1,none,business,2,none,delay in paying off in the past,male single,31,4 to 7 y.,unskilled resident,yes,3,own,building society savings agreement or life insurance,100 to 500 cu,2,yes,0 to 200 cu,0
685,6527,60,4,none,new car,1,none,existing credits paid back duly till now,male single,34,1 to 4 y.,skilled employee,yes,4,for free,unknown or no property,unknown or no savings account,2,yes,no checking account,0
686,1347,10,4,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,27,4 to 7 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,unknown or no savings account,1,yes,greater-than 200 cu or salary assignments for at least 1 year,0
687,2862,36,4,none,new car,1,none,delay in paying off in the past,male single,30,7+ y.,skilled employee,yes,3,for free,unknown or no property,100 to 500 cu,1,none,0 to 200 cu,0
688,2753,9,3,co-applicant,television or radio,1,none,existing credits paid back duly till now,male single,35,7+ y.,skilled employee,yes,4,own,car or other,100 to 500 cu,1,yes,no checking account,0
689,3651,12,1,none,new car,1,none,existing credits paid back duly till now,male single,31,1 to 4 y.,skilled employee,yes,3,own,building society savings agreement or life insurance,greater-than 1000 cu,2,none,less-than 0 cu,0
690,975,15,2,none,furniture or equipment,2,none,critical account or other credits existing(not at this bank),male divorced or separated,25,1 to 4 y.,skilled employee,yes,3,own,building society savings agreement or life insurance,less-than 100 cu,1,none,less-than 0 cu,0
691,2631,15,3,none,repairs,1,none,existing credits paid back duly till now,female divorced or separated or married,25,1 to 4 y.,unskilled resident,yes,2,own,real estate,100 to 500 cu,1,none,0 to 200 cu,0
692,2896,24,2,none,television or radio,1,none,existing credits paid back duly till now,male single,29,less-than 1 y.,skilled employee,yes,1,own,car or other,100 to 500 cu,1,none,0 to 200 cu,0
693,4716,6,1,none,new car,2,none,critical account or other credits existing(not at this bank),male single,44,less-than 1 y.,unskilled resident,yes,3,own,real estate,unknown or no savings account,2,none,less-than 0 cu,0
694,2284,24,4,none,television or radio,1,none,existing credits paid back duly till now,male single,28,4 to 7 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,yes,no checking account,0
695,1236,6,2,none,used car,1,none,existing credits paid back duly till now,male single,50,1 to 4 y.,skilled employee,yes,4,rent,building society savings agreement or life insurance,500 to 1000 cu,1,none,no checking account,0
696,1103,12,4,guarantor,television or radio,2,none,existing credits paid back duly till now,male single,29,4 to 7 y.,skilled employee,no,3,own,real estate,less-than 100 cu,1,none,0 to 200 cu,0
697,926,12,1,none,new car,1,none,critical account or other credits existing(not at this bank),female divorced or separated or married,38,unemployed,unemployed or unskilled non-resident,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,1,none,no checking account,0
698,1800,18,4,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,24,1 to 4 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,no checking account,0
699,1905,15,4,none,education,1,none,existing credits paid back duly till now,male single,40,7+ y.,management or self-employed or highly qualified employee,yes,4,rent,car or other,less-than 100 cu,1,yes,greater-than 200 cu or salary assignments for at least 1 year,0
700,1123,12,4,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,29,1 to 4 y.,unskilled resident,yes,4,rent,car or other,500 to 1000 cu,1,none,no checking account,1
701,6331,48,4,none,used car,2,none,critical account or other credits existing(not at this bank),male single,46,7+ y.,skilled employee,yes,4,for free,unknown or no property,less-than 100 cu,1,yes,less-than 0 cu,1
702,1377,24,4,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,47,7+ y.,skilled employee,yes,2,for free,unknown or no property,100 to 500 cu,1,yes,greater-than 200 cu or salary assignments for at least 1 year,0
703,2503,30,4,none,business,2,stores,delay in paying off in the past,male single,41,7+ y.,skilled employee,yes,2,own,building society savings agreement or life insurance,100 to 500 cu,1,none,0 to 200 cu,0
704,2528,27,4,none,business,1,none,existing credits paid back duly till now,female divorced or separated or married,32,less-than 1 y.,skilled employee,yes,1,own,building society savings agreement or life insurance,less-than 100 cu,2,yes,0 to 200 cu,0
705,5324,15,1,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,35,7+ y.,skilled employee,yes,4,for free,unknown or no property,500 to 1000 cu,1,none,no checking account,0
706,6560,48,3,none,new car,1,none,existing credits paid back duly till now,male single,24,4 to 7 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,100 to 500 cu,1,none,0 to 200 cu,1
707,2969,12,4,none,furniture or equipment,2,none,no credits or all paid,female divorced or separated or married,25,less-than 1 y.,skilled employee,yes,3,rent,building society savings agreement or life insurance,less-than 100 cu,1,none,0 to 200 cu,1
708,1206,9,4,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,25,7+ y.,skilled employee,yes,4,own,real estate,less-than 100 cu,1,none,0 to 200 cu,0
709,2118,9,2,none,television or radio,1,none,existing credits paid back duly till now,male single,37,1 to 4 y.,unskilled resident,yes,2,own,real estate,less-than 100 cu,2,none,0 to 200 cu,0
710,629,18,4,none,television or radio,2,bank,critical account or other credits existing(not at this bank),male single,32,7+ y.,management or self-employed or highly qualified employee,yes,3,own,building society savings agreement or life insurance,500 to 1000 cu,1,yes,no checking account,0
711,1198,6,4,none,education,1,none,all credits at this bank paid back duly,female divorced or separated or married,35,7+ y.,skilled employee,yes,4,for free,unknown or no property,less-than 100 cu,1,none,less-than 0 cu,1
712,2476,21,4,none,used car,1,none,existing credits paid back duly till now,male single,46,7+ y.,management or self-employed or highly qualified employee,yes,4,own,real estate,unknown or no savings account,1,yes,no checking account,0
713,1138,9,4,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,25,1 to 4 y.,unskilled resident,yes,4,own,real estate,less-than 100 cu,1,none,less-than 0 cu,0
714,14027,60,4,none,new car,1,none,existing credits paid back duly till now,male single,27,4 to 7 y.,management or self-employed or highly qualified employee,yes,2,own,unknown or no property,less-than 100 cu,1,yes,0 to 200 cu,1
715,7596,30,1,none,used car,2,none,critical account or other credits existing(not at this bank),male single,63,7+ y.,skilled employee,yes,4,own,car or other,unknown or no savings account,1,none,no checking account,0
716,3077,30,3,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,40,7+ y.,skilled employee,yes,2,own,car or other,unknown or no savings account,2,yes,no checking account,0
717,1505,18,4,none,television or radio,1,none,existing credits paid back duly till now,male single,32,1 to 4 y.,management or self-employed or highly qualified employee,yes,2,for free,unknown or no property,less-than 100 cu,1,yes,no checking account,0
718,3148,24,3,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,31,1 to 4 y.,skilled employee,yes,2,own,car or other,unknown or no savings account,1,yes,greater-than 200 cu or salary assignments for at least 1 year,0
719,6148,20,3,none,used car,2,bank,no credits or all paid,male married or widowed,31,7+ y.,skilled employee,yes,4,own,car or other,100 to 500 cu,1,yes,0 to 200 cu,0
720,1337,9,4,none,television or radio,2,none,no credits or all paid,male single,34,less-than 1 y.,management or self-employed or highly qualified employee,yes,2,own,car or other,less-than 100 cu,1,yes,greater-than 200 cu or salary assignments for at least 1 year,1
721,433,6,4,none,education,1,bank,all credits at this bank paid back duly,female divorced or separated or married,24,less-than 1 y.,skilled employee,yes,2,rent,building society savings agreement or life insurance,greater-than 1000 cu,2,none,0 to 200 cu,1
722,1228,12,4,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,24,1 to 4 y.,unskilled resident,yes,2,own,real estate,less-than 100 cu,1,none,less-than 0 cu,1
723,790,9,4,none,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,66,1 to 4 y.,unskilled resident,yes,3,own,real estate,500 to 1000 cu,1,none,0 to 200 cu,0
724,2570,27,3,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,21,1 to 4 y.,skilled employee,yes,3,rent,real estate,less-than 100 cu,1,none,no checking account,1
725,250,6,2,none,new car,2,bank,critical account or other credits existing(not at this bank),female divorced or separated or married,41,1 to 4 y.,unskilled resident,yes,2,own,real estate,greater-than 1000 cu,1,none,no checking account,0
726,1316,15,2,none,television or radio,2,none,critical account or other credits existing(not at this bank),male married or widowed,47,1 to 4 y.,unskilled resident,yes,2,own,building society savings agreement or life insurance,500 to 1000 cu,1,none,no checking account,0
727,1882,18,4,none,television or radio,2,bank,existing credits paid back duly till now,female divorced or separated or married,25,1 to 4 y.,skilled employee,yes,4,rent,car or other,less-than 100 cu,1,none,less-than 0 cu,1
728,6416,48,4,none,business,1,none,all credits at this bank paid back duly,female divorced or separated or married,59,7+ y.,skilled employee,yes,3,rent,unknown or no property,less-than 100 cu,1,none,0 to 200 cu,1
729,1275,24,2,none,business,2,none,critical account or other credits existing(not at this bank),male divorced or separated,36,1 to 4 y.,skilled employee,yes,4,own,real estate,greater-than 1000 cu,1,yes,greater-than 200 cu or salary assignments for at least 1 year,0
730,6403,24,1,none,television or radio,1,none,delay in paying off in the past,male single,33,less-than 1 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,0 to 200 cu,0
731,1987,24,2,none,television or radio,1,none,existing credits paid back duly till now,male single,21,1 to 4 y.,unskilled resident,yes,4,rent,real estate,less-than 100 cu,2,none,less-than 0 cu,1
732,760,8,4,guarantor,television or radio,1,none,existing credits paid back duly till now,female divorced or separated or married,44,4 to 7 y.,unskilled resident,yes,2,own,real estate,less-than 100 cu,1,none,0 to 200 cu,0
733,2603,24,2,none,used car,1,none,existing credits paid back duly till now,female divorced or separated or married,28,1 to 4 y.,skilled employee,yes,4,rent,car or other,greater-than 1000 cu,1,yes,no checking account,0
734,3380,4,1,none,new car,1,none,critical account or other credits existing(not at this bank),female divorced or separated or married,37,4 to 7 y.,skilled employee,yes,1,own,real estate,less-than 100 cu,2,none,no checking account,0
735,3990,36,3,none,household appliances,1,bank,all credits at this bank paid back duly,female divorced or separated or married,29,less-than 1 y.,unemployed or unskilled non-resident,yes,2,own,unknown or no property,unknown or no savings account,1,none,0 to 200 cu,0
736,11560,24,1,none,used car,2,none,existing credits paid back duly till now,female divorced or separated or married,23,1 to 4 y.,management or self-employed or highly qualified employee,yes,4,rent,car or other,less-than 100 cu,1,none,0 to 200 cu,1
737,4380,18,3,none,new car,1,none,existing credits paid back duly till now,male single,35,1 to 4 y.,unskilled resident,yes,4,own,car or other,100 to 500 cu,2,yes,less-than 0 cu,0
738,6761,6,1,none,new car,2,none,critical account or other credits existing(not at this bank),male single,45,4 to 7 y.,management or self-employed or highly qualified employee,yes,3,own,unknown or no property,less-than 100 cu,2,yes,no checking account,0
739,4280,30,4,none,business,2,none,no credits or all paid,female divorced or separated or married,26,1 to 4 y.,unskilled resident,yes,4,rent,car or other,100 to 500 cu,1,none,0 to 200 cu,1
740,2325,24,2,none,new car,1,bank,all credits at this bank paid back duly,male single,32,4 to 7 y.,skilled employee,yes,3,own,car or other,100 to 500 cu,1,none,less-than 0 cu,0
741,1048,10,4,none,television or radio,1,stores,all credits at this bank paid back duly,male single,23,1 to 4 y.,unskilled resident,yes,4,own,real estate,less-than 100 cu,1,none,0 to 200 cu,0
742,3160,21,4,none,television or radio,1,none,existing credits paid back duly till now,male single,41,7+ y.,skilled employee,yes,3,own,building society savings agreement or life insurance,unknown or no savings account,1,yes,no checking account,0
743,2483,24,4,none,furniture or equipment,1,stores,all credits at this bank paid back duly,male single,22,1 to 4 y.,skilled employee,yes,4,own,real estate,500 to 1000 cu,1,yes,less-than 0 cu,0
744,14179,39,4,none,furniture or equipment,2,none,critical account or other credits existing(not at this bank),male single,30,4 to 7 y.,management or self-employed or highly qualified employee,yes,4,own,building society savings agreement or life insurance,unknown or no savings account,1,yes,less-than 0 cu,0
745,1797,13,3,none,business,2,bank,critical account or other credits existing(not at this bank),male single,28,less-than 1 y.,unskilled resident,yes,1,own,building society savings agreement or life insurance,less-than 100 cu,1,none,less-than 0 cu,0
746,2511,15,1,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,23,unemployed,skilled employee,yes,4,rent,car or other,less-than 100 cu,1,none,less-than 0 cu,0
747,1274,12,3,none,new car,1,none,existing credits paid back duly till now,female divorced or separated or married,37,less-than 1 y.,unskilled resident,yes,1,own,real estate,less-than 100 cu,1,none,less-than 0 cu,1
748,5248,21,1,none,used car,1,none,existing credits paid back duly till now,male single,26,1 to 4 y.,skilled employee,yes,3,own,car or other,unknown or no savings account,1,none,no checking account,0
749,3029,15,2,none,used car,1,none,existing credits paid back duly till now,male single,33,4 to 7 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,no checking account,0
